Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"DOLLAR GENERAL 6954",-86.865395,39.648067,"507 N Jackson St","","Greencastle","IN","46135","1032","PUTNAM" 
"THE BUTCHERS BLOCK",-86.498642,39.164955,"115 S State Road 46","Suite E","Bloomington","IN","47408","4435","MONROE" 
"TIENDA MORELOS 5",-86.260811,39.765339,"5 Beachway Dr","","Indianapolis","IN","46224","8501","MARION" 
"OLD TYME DELI & MEAT SHOP INC.",-87.574989,37.980373,"307 N 1st Ave","","Evansville","IN","47710","1218","VANDERBURGH" 
"TIENDA MORELOS 6",-86.216301,39.898216,"7940 Michigan Rd","Ste 12","Indianapolis","IN","46268","2395","MARION" 
"DOLLAR GENERAL 6718",-84.922157,39.632706,"479 E South St","","Liberty","IN","47353","","UNION" 
"Walgreens 07736",-86.916641,40.042778,"110 W Market St","","Crawfordsville","IN","47933","1722","MONTGOMERY" 
"KROGER   J-965",-85.99556,39.89854,"9835 Fall Creek Rd","","Indianapolis","IN","46256","4802","MARION" 
"SPEEDWAY 6675",-87.168839,41.575989,"6370 Central Ave","","Portage","IN","46368","3802","PORTER" 
"CVS 6610",-86.017006,39.708664,"8405 Southeastern Ave","","Indianapolis","IN","46239","1348","MARION" 
"Crown Point Marathon",-87.356285,41.415226,"702 E Joliet St","","Crown Point","IN","46307","4122","LAKE" 
"R&M FOOD MARKET",-86.868675,40.606682,"247 N Prairie St","","Brookston","IN","47923","8081","WHITE" 
"CVS 6626",-85.610893,40.487919,"301 E Main St","","Gas City","IN","46933","1459","GRANT" 
"Walgreens 01444",-86.470779,40.056656,"1130 N Lebanon St","","Lebanon","IN","46052","1759","BOONE" 
"Carniceria La Fiesta",-86.364418,40.755501,"524 North St","","Logansport","IN","46947","2734","CASS" 
"La Fiesta Market",-86.85836,40.42321,"608 Sagamore Pkwy N","","Lafayette","IN","47904","2717","TIPPECANOE" 
"Kroger J-983",-86.108772,40.041092,"17447 Carey Rd","","Westfield","IN","46074","9439","HAMILTON" 
"DOLLAR GENERAL 1141",-85.842903,41.587791,"207 Chicago Ave","","Goshen","IN","46526","2311","ELKHART" 
"DOLLAR GENERAL 10016",-85.115768,39.048443,"7878 E US Highway 50","","Dillsboro","IN","47018","8732","DEARBORN" 
"DOLLAR GENERAL 6874",-86.107491,39.694031,"3209 E Thompson Rd","","Indianapolis","IN","46227","6682","MARION" 
"DOLLAR GENERAL 5898",-86.527367,38.90065,"203 Hoosier Ave","","Oolitic","IN","47451","9636","LAWRENCE" 
"Meijer Inc 220",-85.795715,38.35006,"4222 Charlestown Rd","","New Albany","IN","47150","9567","FLOYD" 
"Davis Nursery and Country Market",-85.725182,38.300827,"1708 E 10th St","","Jeffersonville","IN","47130","6273","CLARK" 
"Walmart SUPERCENTER 5443",-86.082588,39.69865,"4650 S Emerson Ave","","Indianapolis","IN","46203","5932","MARION" 
"Walgreens 09279",-85.673714,40.537811,"2620 S Western Ave","","Marion","IN","46953","3556","GRANT" 
"Marsh Hometown Market 2",-85.910667,39.725483,"5802 W US 52","","New Palestine","IN","46163","9737","HANCOCK" 
"Walgreens 07788",-85.652763,40.112892,"320 S Scatterfield Rd","","Anderson","IN","46012","3601","MADISON" 
"Walgreens 07174",-85.769653,39.799351,"1195 N State St","","Greenfield","IN","46140","1207","HANCOCK" 
"PLAZA FABRICARE CORP",-86.307838,41.341,"203 E Garro St","","Plymouth","IN","46563","2109","MARSHALL" 
"A & A Quick Stop",-85.504478,40.891754,"1916 N Jefferson St","","Huntington","IN","46750","1351","HUNTINGTON" 
"ROSALES SUPER MKT 5",-86.28936,41.671982,"2812 W Western Ave","","South Bend","IN","46619","3130","ST JOSEPH" 
"GFS Marketplace MP112",-87.474052,37.990131,"1500 N Burkhardt Rd","","Evansville","IN","47715","2755","VANDERBURGH" 
"SARAH'S PHILIPPINES STORE",-87.397758,39.469025,"114 N 13th St","","Terre Haute","IN","47807","2716","VIGO" 
"Walgreens 09129",-85.996101,40.039398,"2380 Pleasant St","","Noblesville","IN","46060","3623","HAMILTON" 
"Circle K 2262",-87.574287,38.007179,"3105 FIRST AVE. N.","","EVANSVILLE","IN","47711","","VANDERBURGH" 
"Coliseum Quick Mart",-85.087425,41.063087,"2510 S Coliseum Blvd","","Fort Wayne","IN","46803","2942","ALLEN" 
"Kenny Dewig Meats",-87.743134,38.277889,"9208 W St Rd 165","","Owensville","IN","47665","","GIBSON" 
"THE JUNCTION",-87.399071,39.185795,"6959 N US Highway 41","","Shelburn","IN","47879","8224","SULLIVAN" 
"DOLLAR GENERAL 6814",-86.961937,40.457596,"2752 Klondike Rd","","West Lafayette","IN","47906","5205","TIPPECANOE" 
"SANTA CRUZ TIENDA Y CARNICERIA",-85.417877,41.644073,"110 N Detroit St","","Lagrange","IN","46761","1802","LAGRANGE" 
"DOLLAR GENERAL 3755",-85.3731,40.219093,"1410 E McGalliard Rd","","Muncie","IN","47303","2208","DELAWARE" 
"Clark's Eastside Market",-85.116119,39.639072,"1449 E 5th St","","Connersville","IN","47331","3309","FAYETTE" 
"GILEAD GENERAL STORE",-86.073135,40.946232,"13902 N State Road 19","","MacY","IN","46951","7868","MIAMI" 
"Fred's Store 2550",-87.347801,38.333931,"130 W Morton St","","Oakland City","IN","47660","1748","GIBSON" 
"Dollar General 6749",-86.781052,39.471943,"325 US Hwy 231","","Cloverdale","IN","46120","","PUTNAM" 
"Casey's General Store 2582",-85.968002,39.355453,"210 W Center Cross St","","Edinburgh","IN","46124","1024","JOHNSON" 
"New Market 776",-85.593925,40.487759,"1025 E Main St","","Gas City","IN","46933","1622","GRANT" 
"New Market 773",-85.673775,40.546619,"1555 S Western Ave","","Marion","IN","46953","1543","GRANT" 
"LANCES MARKET 560",-85.697906,41.323692,"360 S Main St","","North Webster","IN","46555","9206","KOSCIUSKO" 
"LANCES MARKET 561",-85.746773,41.415138,"726 S Huntington St","","Syracuse","IN","46567","1809","KOSCIUSKO" 
"LANCES MARKET 503",-85.787483,41.000317,"1204 St Rd 114 W","","N Manchester","IN","46962","1946","WABASH" 
"Casey's General Store 2390",-87.410629,39.658836,"1211 Western Ave","","Clinton","IN","47842","1063","VERMILLION" 
"Grand Food Junction",-85.088089,41.089619,"1415 N Coliseum Blvd","","Fort Wayne","IN","46805","5527","ALLEN" 
"Circle K 113",-86.126297,40.449673,"3026 S County Rd","","KOKOMO","IN","46902","","HOWARD" 
"Papa Murphy's Pizza",-86.374855,39.607082,"439 S Indiana St","","Mooresville","IN","46158","1711","MORGAN" 
