Cabbage,0,0,0,1,1,1,1,1,1,0,0,0
Cucumbers,0,0,0,0,1,1,1,0,0,0,0,0
Peppers,0,0,0,0,1,1,1,1,1,0,0,0
Potatoes,0,0,0,0,1,1,1,1,1,1,1,0
Pumpkins,0,0,0,0,0,0,0,1,1,1,1,0
Onions,0,0,0,0,0,1,1,1,1,1,0,0
Mint,0,0,0,0,0,1,1,0,0,0,0,0
Squash,0,0,0,0,0,0,0,1,1,1,1,0
Sweet Corn,0,0,0,0,0,0,1,1,1,1,0,0
Tomatoes,0,0,0,0,1,1,1,1,0,0,0,0
Apples,0,0,0,0,0,0,1,1,1,1,0,0
Blueberries,0,0,0,1,1,1,1,1,0,0,0,0
Cherries,0,0,0,0,0,0,1,1,1,0,0,0
Grapes,0,0,0,0,0,0,1,1,1,0,0,0
Pears,0,0,0,0,0,0,0,1,0,0,0,0
Peaches,0,0,0,0,0,0,1,1,0,0,0,0
Plums,0,0,0,0,0,0,0,1,1,0,0,0
Sod,0,0,1,1,1,1,1,1,1,1,1,0
