Double Bar-G,-86.897408,40.315907,215 E 700 S,,Lafayette,IN,47909,9062,TIPPECANOE 
Quick Pantry II,-86.867172,40.395538,2510 Teal Rd,,Lafayette,IN,47905,2221,TIPPECANOE 
Friendly Market,-86.904289,40.389942,2700 Old Us 231 South,,Lafayette,IN,47909,,TIPPECANOE 
Dollar General 14650,-86.876137,40.380112,3215 S 18th St,,Lafayette,IN,47909,,TIPPECANOE 
Speedway 7272,-86.861801,40.395523,3011 Teal Rd,,Lafayette,IN,47905,2234,TIPPECANOE 
Speedway 7288,-86.936127,40.46439,1600 US Highway 52 W,,West Lafayette,IN,47906,5305,TIPPECANOE 
Circle K 2400,-86.925095,40.453392,1209 Sagamore Pkwy W,,West Lafayette,IN,47906,1303,TIPPECANOE 
La Aldea Grocery Store,-86.961449,40.457619,2801 Klondike Rd,Ste B,West Lafayette,IN,47906,5201,TIPPECANOE 
Meijer 186,-86.955299,40.467556,2636 US Highway 52 W,,West Lafayette,IN,47906,,TIPPECANOE 
CVS 10257,-86.915077,40.43259,720 Northwestern Ave,,West Lafayette,IN,47906,,TIPPECANOE 
Fresh City Market 362,-86.915077,40.43259,720 Northwestern Ave,Ste 14,West Lafayette,IN,47906,,TIPPECANOE 
Fresh Thyme Farmers Market 202LAF,-86.838898,40.412991,220 S Creasy Ln,,Lafayette,IN,47905,750,TIPPECANOE 
La Zacatecana Grocery Store LLC,-86.88324,40.369041,2822 US Hwy Old 231,,Lafayette,IN,47909,,TIPPECANOE 
La Village Food Mart,-86.907082,40.42395,208 South St,Ste B,West Lafayette,IN,47906,3082,TIPPECANOE 
Circle K 2408,-86.780212,40.374062,6533 State Road 38 E,,Lafayette,IN,47905,7904,TIPPECANOE 
Circle K 2409,-86.860672,40.367863,3603 Cougill Ln,,Lafayette,IN,47909,3965,TIPPECANOE 
Circle K 2410,-86.827797,40.403522,973 Park East Blvd,,Lafayette,IN,47905,792,TIPPECANOE 
Fairground Foodmart,-86.882751,40.395351,1103 Teal Rd,,Lafayette,IN,47905,2414,TIPPECANOE 
Friendly Market,-86.861893,40.437851,3112 Underwood St,,Lafayette,IN,47904,1636,TIPPECANOE 
Shell,-86.86525,40.432159,2700 Greenbush St,,Lafayette,IN,47904,2430,TIPPECANOE 
Big Lots 132,-86.871727,40.397705,2050 S 22nd St,,Lafayette,IN,47905,2200,TIPPECANOE 
Friendly Enterprise Llc,-86.88604,40.409966,903 Kossuth St,,Lafayette,IN,47905,1465,TIPPECANOE 
Taran Enterprise Inc,-86.838577,40.403561,999 S Creasy Ln,,Lafayette,IN,47905,4800,TIPPECANOE 
4th St. Shell,-86.892975,40.414089,245 S 4th St,,Lafayette,IN,47901,1612,TIPPECANOE 
Fe33 - Purdue 33,-86.920784,40.444931,1812 Northwestern Ave,,West Lafayette,IN,47906,2272,TIPPECANOE 
Fe68-lafayette Sagamore 68,-86.857994,40.420132,323 Sagamore Pkwy N,,Lafayette,IN,47904,2823,TIPPECANOE 
Friendly Mart LLC 1,-86.904259,40.258759,4 State Road 28 W,,Romney,IN,47981,9627,TIPPECANOE 
Mexican Bakery Mama Ines 3,-86.860458,40.368153,3107 Builder Dr,Ste 15,Lafayette,IN,47909,4200,TIPPECANOE 
Lafayette Farmers Market/purdue Farmers Market,-86.895348,40.419094,5 Main St,5th St. Between,Lafayette,IN,47901,1241,TIPPECANOE 
Hsrk Golo,-86.921806,40.44619,1900 Northwestern Ave,,West Lafayette,IN,47906,2048,TIPPECANOE 
Save-A-Lot 8008,-86.869377,40.430508,2200 Elmwood Ave,Ste C7,Lafayette,IN,47904,2347,TIPPECANOE 
Better World Market,-86.898384,40.422047,402 Brown St,,West Lafayette,IN,47906,3214,TIPPECANOE 
Oasis Mexican Grocery,-86.86763,40.442921,2338 Sagamore Pkwy W,,West Lafayette,IN,47906,1384,TIPPECANOE 
FRED'S MINI MART,-86.952721,40.371567,2523 State Road 25 W,,Lafayette,IN,47909,9217,TIPPECANOE 
Meijer Inc 137,-86.811813,40.417542,4901 State Road 26 E,,Lafayette,IN,47905,4611,TIPPECANOE 
R & M Wholesale Cash & Carry,-86.885483,40.419106,1007 Main St,,Lafayette,IN,47901,1542,TIPPECANOE 
Gordon Food Service MP31,-86.829086,40.415432,200 Park East Blvd,,Lafayette,IN,47905,743,TIPPECANOE 
Walgreens 04371,-86.876503,40.417343,1801 South St,,Lafayette,IN,47904,2962,TIPPECANOE 
VILLAGE PANTRY 5447,-86.838669,40.388977,3898 State Road 38 E,,Lafayette,IN,47905,5247,TIPPECANOE 
LA TAPATIA,-86.861488,40.422878,3100 Cincinnati St,,Lafayette,IN,47904,2711,TIPPECANOE 
PAY LESS  827,-86.846069,40.391033,2513 Maple Point Dr,,Lafayette,IN,47905,5157,TIPPECANOE 
PAY LESS  824,-86.918167,40.453438,1032 Sagamore Pkwy W,,West Lafayette,IN,47906,1446,TIPPECANOE 
Payless J-822,-86.90345,40.387894,65 Beck Ln,,Lafayette,IN,47909,2836,TIPPECANOE 
Target Store 1762,-86.84726,40.417667,3630 State Road 26 E,,Lafayette,IN,47905,4807,TIPPECANOE 
VILLAGE PANTRY 5446,-86.937569,40.465908,1800 US Highway 52 W,,West Lafayette,IN,47906,5309,TIPPECANOE 
Aunt Millie's Bakery Outlet,-86.835129,40.398312,3801 Amelia Ave,,Lafayette,IN,47905,5000,TIPPECANOE 
Walmart  1547,-86.827316,40.415276,4205 Commerce Dr,,Lafayette,IN,47905,3800,TIPPECANOE 
Kmart 7775,-86.852776,40.397324,3530 State Road 38 E,,Lafayette,IN,47905,5121,TIPPECANOE 
Mexican Bakery Mama Inez,-86.85836,40.431782,1440 N Sagamore Pkwy,,Lafayette,IN,47905,,TIPPECANOE 
VILLAGE PANTRY  482,-86.868744,40.443443,2450 Sagamore Pkwy N,,Lafayette,IN,47904,1252,TIPPECANOE 
Casey's General Store 2356,-86.907097,40.389492,153 State Road 25 W,,Lafayette,IN,47909,2801,TIPPECANOE 
Walmart  2339,-86.935272,40.459305,2801 Northwestern Ave,,West Lafayette,IN,47906,6816,TIPPECANOE 
CVS  7651,-86.845917,40.41806,2 Shenandoah Dr,,Lafayette,IN,47905,5925,TIPPECANOE 
VILLAGE PANTRY 5546,-86.882217,40.425716,900 N 14th St,,Lafayette,IN,47904,2020,TIPPECANOE 
WALGREENS  6456,-86.916183,40.453388,1000 Sagamore Pkwy W,,W Lafayette,IN,47906,1446,TIPPECANOE 
DOLLAR GENERAL  2661,-86.904709,40.387096,2830 US Highway 231 S,,Lafayette,IN,47909,2851,TIPPECANOE 
DOLLAR GENERAL  4475,-86.867981,40.395557,2432 Teal Rd,,Lafayette,IN,47905,2220,TIPPECANOE 
DOLLAR GENERAL 4598,-86.871147,40.429634,2200 Elmwood Ave,Ste C5,Lafayette,IN,47904,2347,TIPPECANOE 
MARSH SUPERMARKET  77,-86.869209,40.395546,2250 Teal Rd,,Lafayette,IN,47905,2218,TIPPECANOE 
MARSH SUPERMARKET  27,-86.915672,40.451946,2410 N Salisbury St,,West Lafayette,IN,47906,1942,TIPPECANOE 
Beutler Meat Processing,-86.899666,40.411179,801 S 1st St,,Lafayette,IN,47905,1010,TIPPECANOE 
VILLAGE PANTRY 5465,-86.846107,40.432186,3630 Greenbush St,,Lafayette,IN,47905,4205,TIPPECANOE 
VILLAGE PANTRY 5473,-86.893051,40.406727,1008 S 4th St,,Lafayette,IN,47905,1461,TIPPECANOE 
VILLAGE PANTRY 5483,-86.872925,40.412346,1920 Main St,,Lafayette,IN,47904,2925,TIPPECANOE 
VILLAGE PANTRY 5498,-86.886787,40.41711,6 S 9th St,,Lafayette,IN,47901,1651,TIPPECANOE 
VILLAGE PANTRY 5422,-86.875366,40.381676,1805 Brady Ln,,Lafayette,IN,47909,3803,TIPPECANOE 
VILLAGE PANTRY 5430,-86.89035,40.424683,601 Union St,,Lafayette,IN,47904,1857,TIPPECANOE 
VILLAGE PANTRY 5502,-86.876198,40.441074,1901 Schuyler Ave,,Lafayette,IN,47904,1147,TIPPECANOE 
Asia Oriental Market,-86.924461,40.452282,2400 Yeager Rd,,West Lafayette,IN,47906,,TIPPECANOE 
VILLAGE PANTRY 5564,-86.85894,40.381889,3150 Brady Ln,,Lafayette,IN,47909,3887,TIPPECANOE 
ALDI  59,-86.857536,40.406288,957 Sagamore Pkwy S,,Lafayette,IN,47905,4728,TIPPECANOE 
